RECEIPT FILENAME → TRANSACTION DATE MAPPING
================================================================================

Upwork 06.02.2025.pdf                              → 2025-06-02
Upwork 06.05.2025.pdf                              → 2025-06-05
ChatGPT Simon June 2025.pdf                        → 2025-06-08
Upwork 06.09.2025.pdf                              → 2025-06-09
Twinr 6.16.2025.pdf                                → 2025-06-16
Twinr 6.16.2025-2.pdf                              → 2025-06-16
Twinr 6.19.2025-1.pdf                              → 2025-06-19
Twinr 6.19.2025-2.pdf                              → 2025-06-19
Cursor 6.20.2025.pdf                               → 2025-06-20
Upwork 06.30.2025.pdf                              → 2025-06-30
ChatGPT Nick July 2025.pdf                         → 2025-07-06
ChatGPT Simon July 2025.pdf                        → 2025-07-08
Upwork 07.14.2025.pdf                              → 2025-07-14
Twinr 7.16.2025.pdf                                → 2025-07-16
Twinr 7.16.2025-2.pdf                              → 2025-07-16
Upwork 07.18.2025.pdf                              → 2025-07-18
Twinr 7.19.2025-1.pdf                              → 2025-07-19
Twinr 7.19.2025-2.pdf                              → 2025-07-19
Cursor 7.20.2025.pdf                               → 2025-07-20
Upwork 08.04.2025.pdf                              → 2025-08-04
ChatGPT Nick Aug 2025.pdf                          → 2025-08-06
ChatGPT Simon Aug 2025.pdf                         → 2025-08-08
Cursor 8.9.2025.pdf                                → 2025-08-09
Dun and Bradstreet.pdf                             → 2025-08-12
Upwork 08.18.2025.pdf                              → 2025-08-18
Cursor 8.20.2025.pdf                               → 2025-08-20
Upwork 09.01.2025.pdf                              → 2025-09-01
Upwork 09.05.2025.pdf                              → 2025-09-05
ChatGPT Nick Sep 2025.pdf                          → 2025-09-06
ChatGPT Simon Sep 2025.pdf                         → 2025-09-08
Cursor 9.10.2025.pdf                               → 2025-09-10
Apple developer program.pdf                        → 2025-09-14
Twinr 9.19.2025-1.pdf                              → 2025-09-19
Twinr 9.19.2025-2.pdf                              → 2025-09-19
Cursor 9.20.2025.pdf                               → 2025-09-20
Google Play developer registration.pdf             → 2025-09-20
Upwork 09.22.2025.pdf                              → 2025-09-22
Upwork 09.29.2025.pdf                              → 2025-09-29
Upwork 09.30.2025.pdf                              → 2025-09-30
