Date,Description,Debit/Credit,Balance,Funding Source
10/5/25,"TWILIO INC, SAN FRANCISCO, CA",-10,-55057.26,
10/5/25,"TWILIO INC, SAN FRANCISCO, CA",-10.23,,
10/4/25,"TWILIO INC, SAN FRANCISCO, CA",-10.03,-55037.03,
10/4/25,"TWILIO SENDGRID, SAN FRANCISCO, CA",-24.95,,
10/3/25,"TWILIO INC, SAN FRANCISCO, CA",-10.05,-55002.05,
10/2/25,"GOOGLE*CLOUD CCNBW5, CC GOOGLE.COM, CA",-0.01,-54992,
10/2/25,"GOOGLE *GSUITE_swaybet, 650-253-0000, CA",-22.47,,
10/2/25,"GOOGLE *CLOUD 3vKNVH, 650-253-0000, CA",-867.92,146495.07,
10/1/25,Interest earned in September 2025,284.55,147362.99,
10/1/25,"GOOGLE *Google One, 650-253-0000, CA",-21.39,-54969.52,
10/1/25,"TWILIO INC, SAN FRANCISCO, CA",-10,,
10/1/25,"ALLY BANK, P2P , SIMON CULLEN",1081.82,,
9/30/25,"UPWORK * -851118015, SAN FRANCISCO, CA",-1948.93,-54938.13,
9/30/25,"UPWORK * -851257804, SAN FRANCISCO, CA",-315.9,,
9/29/25,"TWILIO INC, SAN FRANCISCO, CA",-10.01,-52673.3,
9/28/25,"LYFT *TEMP AUTH HOLD, SAN FRANCISCO, CA",-53.62,145996.62,
9/27/25,"TWILIO INC, SAN FRANCISCO, CA",-10.01,-52663.29,
9/25/25,"SENTRY, SAN FRANCISCO, CA",-41.73,-52653.28,
9/25/25,"TWILIO INC, SAN FRANCISCO, CA",-10.01,,
9/25/25,"CHATBASE, TORONTO, ON",-40,146050.24,
9/25/25,"UBR* PENDING.UBER.COM, SAN FRANCISCO, CA",-22.76,,
9/25/25,"UBER *TRIP, SAN FRANCISCO, CA",-63.84,,
9/24/25,"ALLY BANK, ACCTVERIFY, 14940880059",-0.71,146176.84,
9/24/25,"ALLY BANK, ACCTVERIFY",0.38,,
9/24/25,"ALLY BANK, ACCTVERIFY",0.33,,
9/23/25,"UPWORK * -849030767, SAN FRANCISCO, CA",-284.31,,
9/23/25,"UPWORK * -848892068, SAN FRANCISCO, CA",-2621.11,-52601.54,
9/22/25,"TWILIO INC, SAN FRANCISCO, CA",-10.79,-49696.12,
9/22/25,"BILL.COM LLC, BILLING",-20.33,146176.84,
9/21/25,"Google Play, Mountain View, CA",-25,146197.17,
9/21/25,"CURSOR, AI POWERED IDE, NEW YORK, NY",-21.4,-49685.33,
9/21/25,"TWILIO INC, SAN FRANCISCO, CA",-10.03,,
9/20/25,"TWINR INC., VAUDREUIL-DOR, QC",-2,-49653.9,
9/20/25,"TWINR INC., VAUDREUIL-DOR, QC",-68.5,,
9/19/25,"TWILIO INC, SAN FRANCISCO, CA",-10.09,-49583.4,
9/19/25,"UBR* PENDING.UBER.COM, SAN FRANCISCO, CA",-87.4,146222.17,
9/18/25,"BLOCKED AND REPORTED, BREMERTON, WA",-75,146309.57,
9/17/25,"TWILIO INC, SAN FRANCISCO, CA",-10,-49573.31,
9/16/25,"UPWORK * -846691498, SAN FRANCISCO, CA",-2568.46,-49563.31,
9/16/25,"GUSTO, TLR 562239",424.2,146384.57,
9/15/25,"AMAZON MKTPLACE PMTS, Amzn.com/bill, WA",-42.25,-3193.34,
9/15/25,"APPLE.COM/BILL, 866-712-7753, CA",-107.6,,
