Date,Description,Debit/Credit,Balance
2025-07-17,"GUSTO, NET 277978",-2810.81,
2025-07-17,"GUSTO, NET 278975",-2810.8,
2025-07-17,"GUSTO, NET 277978",-2808.63,
2025-06-17,"UPWORK * -818381116, SAN FRANCISCO, CA",-2775.71,
2025-06-10,"UPWORK * -816238517, SAN FRANCISCO, CA",-2754.13,-10435.44
2025-07-22,"UPWORK * -829263717, SAN FRANCISCO, CA",-2657.96,-26626.45
2025-07-08,"UPWORK * -824937417, SAN FRANCISCO, CA",-2634.62,-20406.67
2025-09-16,"UPWORK * -846691498, SAN FRANCISCO, CA",-2568.46,-49563.31
2025-07-15,"UPWORK * -827095899, SAN FRANCISCO, CA",-2444.02,-22931.8
2025-08-19,"UPWORK * -837926041, SAN FRANCISCO, CA",-2309.23,-38156.31
2025-08-12,"UPWORK * -835793533, SAN FRANCISCO, CA",-2288.18,-34527.14
2025-07-29,"UPWORK * -831406601, SAN FRANCISCO, CA",-2257.82,-28958.12
2025-07-01,"UPWORK * -822754447, SAN FRANCISCO, CA",-2250.8,-17668.59
2025-06-03,"UPWORK * -814085609, SAN FRANCISCO, CA",-2197.43,-7321.02
2025-05-29,"UPWORK * -812363145, SAN FRANCISCO, CA",-2133.57,-2267.84
2025-08-05,"UPWORK * -833617888, SAN FRANCISCO, CA",-2133.04,-31377.17
2025-08-26,"RESIDENT* NECTAR, JEFFERSONVILL, IN",-2062.03,-2624.65
2025-08-31,"ARTICLE 67899, TACOMA, WA",-1989.16,146321.36
2025-09-09,"UPWORK * -844504240, SAN FRANCISCO, CA",-1974.38,-44695.43
2025-09-02,"Upwork -842277294REF, Upwork.com/bi, CA",-1942.79,
2025-08-26,"Upwork -840095937REF, Upwork.com/bi, CA",-1937.52,-40186.56
2025-06-24,"UPWORK * -820545441, SAN FRANCISCO, CA",-1911.38,-15350.65
2025-09-10,"UPWORK * -844873181, SAN FRANCISCO, CA",-1807.31,-47063.7
2025-07-25,"GUSTO, NET 610613",-1768.4,
2025-07-17,"GUSTO, TAX 290030",-1508.54,
2025-07-17,"GUSTO, TAX 291404",-1502.37,
2025-07-17,"GUSTO, TAX 291404",-1426.04,
2025-06-03,"HILTON ADVPURCH8002367, MEMPHIS, TN",-1374.77,
2025-08-19,"UPWORK * -838060455, SAN FRANCISCO, CA",-1309.94,
2025-06-02,"DELTA INTERNET DELTA.C, ATLANTA, GA",-1196.98,
2025-06-16,"HEALTH INS PREMIUM PMT, WEATOGUE, CT",-1081.82,92717.18
2025-06-28,"MARRIOTT BROOKLYN BR, BROOKLYN, NY",-1074.21,168499.58
2025-08-28,"GOOGLE *CLOUD 5Q42V6, 650-253-0000, CA",-1000.0,
2025-07-18,"GUSTO, NET 380064",-859.23,
2025-07-25,"GUSTO, TAX 609792",-686.1,150486.22
2025-07-18,"UPWORK * -827860618, SAN FRANCISCO, CA",-658.67,-23697.11
2025-07-02,"AMERICAN AIRLINES, PHOENIX, AZ",-610.96,
2025-07-02,"AMERICAN AIRLINES, PHOENIX, AZ",-608.01,
2025-06-19,"AMERICAN AIRLINES, PHOENIX, AZ",-580.87,91936.31
2025-07-27,"LinkedInPreD *25906824, Mountain View, CA",-577.68,149908.54
2025-06-07,"DELTA, 800-221-1212, GA",-552.55,18899.0
2025-06-07,"DELTA, 800-221-1212, GA",-552.55,
2025-07-20,"GOOGLE *CLOUD 8J3KDR, 650-253-0000, CA",-500.0,152988.87
2025-09-13,"DELTA INTERNET DELTA.C, ATLANTA, GA",-464.96,145960.37
2025-08-12,"UPWORK * -835928643, SAN FRANCISCO, CA",-434.37,
2025-07-02,"GOOGLE *CLOUD 6NV35T, 650-253-0000, CA",-415.66,167009.85
2025-08-02,"GOOGLE *CLOUD 9vKT9W, 650-253-0000, CA",-407.98,149871.72
2025-09-10,"ANTHROPIC, SAN FRANCISCO, CA",-400.23,
2025-06-19,"AMERICAN AIRLINES, PHOENIX, AZ",-397.23,
